"GISJOIN","GISJOIN_T","COUNTY_CODE","STATEA","COUNTYA","TRACTA","BLOCKA","ET2001","ET2002","ET2003","ET2004","ET2005","ET2006","ET2007","ET2008","ET2009","ET2010"
"G1100010002002502","G1100010002002",11001,11,1,2002,"502",19,111,1,1,0,0,0,0,0,2
"G1100010002002503","G1100010002002",11001,11,1,2002,"503",2,61,1,2,0,0,0,1,0,0
"G1100010002002504","G1100010002002",11001,11,1,2002,"504",19,120,1,0,0,0,1,0,0,1
"G1100010002002505","G1100010002002",11001,11,1,2002,"505",9,125,1,0,2,0,0,0,0,0
"G1100010002002506","G1100010002002",11001,11,1,2002,"506",10,125,0,2,0,0,0,0,0,0
"G1100010002002507","G1100010002002",11001,11,1,2002,"507",0,2,0,0,0,0,0,0,0,0
"G1100010002002508","G1100010002002",11001,11,1,2002,"508",0,15,0,0,0,0,0,0,0,0
"G1100010002002509","G1100010002002",11001,11,1,2002,"509",2,16,0,0,0,0,8,0,0,0
"G1100010002002510","G1100010002002",11001,11,1,2002,"510",5,105,0,0,0,1,0,0,0,16
"G1100010002002601","G1100010002002",11001,11,1,2002,"601",10,2,0,1,0,0,0,0,0,0
"G1100010002002602","G1100010002002",11001,11,1,2002,"602",2,17,0,0,0,0,0,0,0,0
"G1100010002002603","G1100010002002",11001,11,1,2002,"603",8,28,0,0,0,0,0,0,0,1
"G1100010002002604","G1100010002002",11001,11,1,2002,"604",1,13,0,0,0,0,0,0,0,0
"G1100010002002605","G1100010002002",11001,11,1,2002,"605",7,27,0,1,0,2,0,0,0,0
"G1100010002002606","G1100010002002",11001,11,1,2002,"606",6,9,0,0,0,2,0,0,0,0
"G1100010002002607","G1100010002002",11001,11,1,2002,"607",20,4,2,0,0,0,0,0,0,0
"G1100010002002608","G1100010002002",11001,11,1,2002,"608",15,17,0,0,0,0,0,0,0,0
"G1100010002002609","G1100010002002",11001,11,1,2002,"609",7,40,0,9,0,2,1,0,0,0
"G1100010002002613","G1100010002002",11001,11,1,2002,"613",7,35,0,0,0,1,0,0,0,0
"G1100010002002620","G1100010002002",11001,11,1,2002,"620",19,52,0,1,0,0,0,0,0,0
"G1100010002002621","G1100010002002",11001,11,1,2002,"621",16,40,0,0,0,1,0,0,0,0
"G1100010002101101","G1100010002101",11001,11,1,2101,"101",0,5,0,0,0,0,0,0,0,0
"G1100010002101102","G1100010002101",11001,11,1,2101,"102",0,109,0,0,0,0,1,0,0,0
"G1100010002101103","G1100010002101",11001,11,1,2101,"103",3,136,3,0,1,0,0,0,0,0
"G1100010002101104","G1100010002101",11001,11,1,2101,"104",0,5,0,0,0,0,0,0,0,0
"G1100010002101105","G1100010002101",11001,11,1,2101,"105",1,125,0,0,2,0,1,0,0,3
"G1100010002101108","G1100010002101",11001,11,1,2101,"108",2,255,1,0,0,0,1,0,0,2
"G1100010002101109","G1100010002101",11001,11,1,2101,"109",2,136,0,0,0,0,0,0,0,5
"G1100010002101110","G1100010002101",11001,11,1,2101,"110",4,337,0,0,0,2,1,0,0,4
"G1100010002101111","G1100010002101",11001,11,1,2101,"111",4,84,1,0,4,0,7,0,0,0
"G1100010002101112","G1100010002101",11001,11,1,2101,"112",3,146,2,0,0,9,2,0,0,6
"G1100010002101201","G1100010002101",11001,11,1,2101,"201",6,142,0,1,1,10,5,0,2,0
"G1100010002101206","G1100010002101",11001,11,1,2101,"206",0,279,0,0,0,0,11,0,0,11
"G1100010002101207","G1100010002101",11001,11,1,2101,"207",6,289,0,2,1,5,1,0,0,0
"G1100010002101209","G1100010002101",11001,11,1,2101,"209",2,197,1,0,0,6,1,0,0,0
"G1100010002101301","G1100010002101",11001,11,1,2101,"301",1,253,0,0,0,4,1,0,0,0
"G1100010002101302","G1100010002101",11001,11,1,2101,"302",5,195,0,2,0,0,0,0,0,0
"G1100010002101303","G1100010002101",11001,11,1,2101,"303",0,171,4,0,0,0,1,0,0,0
"G1100010002101304","G1100010002101",11001,11,1,2101,"304",1,225,0,0,0,5,0,0,0,2
"G1100010002101305","G1100010002101",11001,11,1,2101,"305",4,212,0,1,0,0,3,0,0,2
"G1100010002101306","G1100010002101",11001,11,1,2101,"306",1,172,0,0,0,0,0,0,0,0
"G1100010002101401","G1100010002101",11001,11,1,2101,"401",1,120,0,0,0,0,3,0,0,0
"G1100010002101403","G1100010002101",11001,11,1,2101,"403",0,109,0,0,1,0,1,0,0,16
"G1100010002101404","G1100010002101",11001,11,1,2101,"404",0,125,0,0,0,0,5,0,0,13
"G1100010002101405","G1100010002101",11001,11,1,2101,"405",0,26,0,0,0,0,0,0,0,0
"G1100010002101407","G1100010002101",11001,11,1,2101,"407",0,265,0,0,0,14,3,0,0,0
"G1100010002101408","G1100010002101",11001,11,1,2101,"408",1,53,0,0,0,0,0,0,0,0
"G1100010002101409","G1100010002101",11001,11,1,2101,"409",0,97,0,5,0,0,4,0,0,1
"G1100010002101501","G1100010002101",11001,11,1,2101,"501",3,26,0,1,0,0,0,0,0,0
"G1100010002101502","G1100010002101",11001,11,1,2101,"502",0,229,1,11,0,0,2,0,0,2
"G1100010002101503","G1100010002101",11001,11,1,2101,"503",2,248,0,1,0,0,5,0,0,3
"G1100010002101504","G1100010002101",11001,11,1,2101,"504",4,135,0,4,0,0,0,0,0,0
"G1100010002101505","G1100010002101",11001,11,1,2101,"505",0,0,0,0,0,0,0,0,0,0
"G1100010002101506","G1100010002101",11001,11,1,2101,"506",0,79,0,6,0,0,2,0,0,1
"G1100010002102101","G1100010002102",11001,11,1,2102,"101",2,74,0,0,0,0,0,0,0,1
"G1100010002102102","G1100010002102",11001,11,1,2102,"102",2,78,0,0,0,0,0,0,0,0
"G1100010002102103","G1100010002102",11001,11,1,2102,"103",0,67,0,0,0,5,0,0,0,0
"G1100010002102104","G1100010002102",11001,11,1,2102,"104",1,68,0,0,0,0,0,0,0,0
"G1100010002102105","G1100010002102",11001,11,1,2102,"105",1,100,0,0,0,0,0,0,0,0
"G1100010002102106","G1100010002102",11001,11,1,2102,"106",3,107,0,0,0,1,0,0,0,0
"G1100010002102201","G1100010002102",11001,11,1,2102,"201",4,184,0,0,0,0,0,0,0,0
"G1100010002102202","G1100010002102",11001,11,1,2102,"202",0,166,0,0,0,0,0,0,0,0
"G1100010002102204","G1100010002102",11001,11,1,2102,"204",0,20,0,0,0,0,0,0,0,0
"G1100010002102205","G1100010002102",11001,11,1,2102,"205",4,61,0,0,0,0,4,0,0,2
"G1100010002102206","G1100010002102",11001,11,1,2102,"206",7,169,0,0,0,1,0,0,0,0
"G1100010002102207","G1100010002102",11001,11,1,2102,"207",2,49,0,0,0,12,2,0,0,3
"G1100010002102208","G1100010002102",11001,11,1,2102,"208",0,7,0,0,0,0,0,0,0,0
"G1100010002102209","G1100010002102",11001,11,1,2102,"209",10,182,0,0,0,10,12,0,0,0
"G1100010002102301","G1100010002102",11001,11,1,2102,"301",1,122,8,0,1,0,0,0,0,0
"G1100010002102302","G1100010002102",11001,11,1,2102,"302",6,163,1,0,0,0,0,0,0,0
"G1100010002102303","G1100010002102",11001,11,1,2102,"303",5,141,0,1,0,0,1,0,0,1
"G1100010002102304","G1100010002102",11001,11,1,2102,"304",0,32,0,0,0,0,0,0,0,0
"G1100010002102305","G1100010002102",11001,11,1,2102,"305",0,68,1,2,1,0,0,0,0,3
"G1100010002102306","G1100010002102",11001,11,1,2102,"306",0,234,0,0,0,0,3,2,0,1
"G1100010002102401","G1100010002102",11001,11,1,2102,"401",1,57,0,0,0,0,0,0,0,0
"G1100010002102402","G1100010002102",11001,11,1,2102,"402",0,20,0,0,0,0,0,0,0,0
"G1100010002102403","G1100010002102",11001,11,1,2102,"403",0,69,0,0,0,0,4,0,0,4
"G1100010002102404","G1100010002102",11001,11,1,2102,"404",0,39,0,0,0,0,0,0,0,0
"G1100010002102405","G1100010002102",11001,11,1,2102,"405",3,160,0,3,0,0,0,0,0,0
"G1100010002102406","G1100010002102",11001,11,1,2102,"406",2,186,0,0,0,0,0,0,0,0
"G1100010002102409","G1100010002102",11001,11,1,2102,"409",0,244,1,6,2,4,4,0,0,9
"G1100010002102501","G1100010002102",11001,11,1,2102,"501",2,103,1,0,0,0,0,0,0,0
"G1100010002102503","G1100010002102",11001,11,1,2102,"503",2,148,0,0,0,0,0,0,0,0
"G1100010002102504","G1100010002102",11001,11,1,2102,"504",0,186,0,0,0,0,2,0,0,0
"G1100010002102505","G1100010002102",11001,11,1,2102,"505",3,32,0,0,0,0,0,0,0,0
"G1100010002102506","G1100010002102",11001,11,1,2102,"506",1,145,0,0,0,0,1,0,0,2
"G1100010002102601","G1100010002102",11001,11,1,2102,"601",0,3,0,0,0,0,0,0,0,0
"G1100010002102602","G1100010002102",11001,11,1,2102,"602",0,94,0,1,2,0,0,0,0,0
"G1100010002102603","G1100010002102",11001,11,1,2102,"603",1,193,0,0,0,0,1,0,0,7
"G1100010002102604","G1100010002102",11001,11,1,2102,"604",3,201,0,3,0,7,0,0,0,0
"G1100010002102605","G1100010002102",11001,11,1,2102,"605",0,108,0,0,0,0,0,0,0,0
"G1100010002102606","G1100010002102",11001,11,1,2102,"606",0,104,0,2,0,0,0,0,0,0
"G1100010002102607","G1100010002102",11001,11,1,2102,"607",3,19,0,0,0,0,0,0,0,0
"G1100010002102608","G1100010002102",11001,11,1,2102,"608",2,150,1,5,0,6,11,1,0,7
"G1100010002102701","G1100010002102",11001,11,1,2102,"701",0,123,0,0,0,0,0,0,0,0
"G1100010002102702","G1100010002102",11001,11,1,2102,"702",1,34,0,0,0,0,0,0,0,0
"G1100010002102703","G1100010002102",11001,11,1,2102,"703",1,15,0,0,0,0,0,0,0,0
"G1100010002102704","G1100010002102",11001,11,1,2102,"704",0,24,0,0,0,0,0,0,0,0
"G1100010002102705","G1100010002102",11001,11,1,2102,"705",0,39,0,0,0,0,0,0,0,0
"G1100010002102706","G1100010002102",11001,11,1,2102,"706",1,25,0,0,0,0,0,0,0,0
"G1100010002102707","G1100010002102",11001,11,1,2102,"707",0,92,1,0,0,0,0,0,0,0
"G1100010002102708","G1100010002102",11001,11,1,2102,"708",2,122,0,0,0,0,9,0,0,0
"G1100010002201101","G1100010002201",11001,11,1,2201,"101",7,204,0,0,1,0,9,1,0,2
"G1100010002201102","G1100010002201",11001,11,1,2201,"102",1,125,0,0,0,0,0,0,0,0
"G1100010002201103","G1100010002201",11001,11,1,2201,"103",1,101,1,0,0,0,1,0,0,7
"G1100010002201104","G1100010002201",11001,11,1,2201,"104",0,161,0,0,0,0,1,0,0,0
"G1100010002201105","G1100010002201",11001,11,1,2201,"105",1,254,0,0,0,0,0,0,0,7
"G1100010002201107","G1100010002201",11001,11,1,2201,"107",0,120,0,0,0,20,0,0,0,0
"G1100010002201108","G1100010002201",11001,11,1,2201,"108",0,61,0,0,0,0,0,0,0,0
"G1100010002201109","G1100010002201",11001,11,1,2201,"109",2,129,0,0,0,0,0,0,0,0
"G1100010002201110","G1100010002201",11001,11,1,2201,"110",6,118,1,1,0,11,0,0,0,6
"G1100010002201111","G1100010002201",11001,11,1,2201,"111",1,60,3,0,0,0,4,0,0,0
"G1100010002201201","G1100010002201",11001,11,1,2201,"201",5,133,0,1,0,0,0,0,0,7
"G1100010002201203","G1100010002201",11001,11,1,2201,"203",0,112,0,0,0,0,0,0,0,19
"G1100010002201205","G1100010002201",11001,11,1,2201,"205",3,185,0,0,0,0,0,0,0,0
"G1100010002201207","G1100010002201",11001,11,1,2201,"207",5,77,0,0,0,0,4,0,0,4
"G1100010002201301","G1100010002201",11001,11,1,2201,"301",0,156,0,0,0,0,0,0,0,6
"G1100010002201302","G1100010002201",11001,11,1,2201,"302",1,128,0,0,0,0,0,0,0,0
"G1100010002201303","G1100010002201",11001,11,1,2201,"303",2,127,0,0,0,0,0,0,0,0
"G1100010002201304","G1100010002201",11001,11,1,2201,"304",1,178,1,0,0,10,0,0,0,0
"G1100010002201305","G1100010002201",11001,11,1,2201,"305",3,135,0,0,0,0,0,0,0,0
"G1100010002201306","G1100010002201",11001,11,1,2201,"306",1,98,0,4,0,1,2,1,0,0
"G1100010002201401","G1100010002201",11001,11,1,2201,"401",0,92,0,0,0,0,1,0,0,0
"G1100010002201402","G1100010002201",11001,11,1,2201,"402",2,147,0,2,0,0,0,0,0,7
"G1100010002201403","G1100010002201",11001,11,1,2201,"403",0,39,0,0,0,0,0,0,0,0
"G1100010002201404","G1100010002201",11001,11,1,2201,"404",6,94,0,0,0,0,15,0,0,0
"G1100010002201405","G1100010002201",11001,11,1,2201,"405",5,90,3,1,0,0,6,0,0,2
"G1100010002201406","G1100010002201",11001,11,1,2201,"406",4,130,0,0,1,0,7,0,0,18
"G1100010002201407","G1100010002201",11001,11,1,2201,"407",1,133,0,0,4,0,0,0,0,4
"G1100010002202101","G1100010002202",11001,11,1,2202,"101",7,101,0,0,0,0,0,0,0,0
"G1100010002202102","G1100010002202",11001,11,1,2202,"102",5,435,0,0,0,2,3,0,0,2
"G1100010002202103","G1100010002202",11001,11,1,2202,"103",2,129,0,0,0,0,0,0,0,0
"G1100010002202104","G1100010002202",11001,11,1,2202,"104",0,63,0,0,0,0,1,0,0,0
"G1100010002202105","G1100010002202",11001,11,1,2202,"105",7,197,0,0,0,0,2,0,0,5
"G1100010002202106","G1100010002202",11001,11,1,2202,"106",6,110,0,0,0,7,0,0,0,4
"G1100010002202107","G1100010002202",11001,11,1,2202,"107",14,105,0,1,0,0,1,0,0,0
"G1100010002202108","G1100010002202",11001,11,1,2202,"108",1,181,0,1,0,10,5,1,0,16
"G1100010002202201","G1100010002202",11001,11,1,2202,"201",1,80,0,0,0,0,0,0,0,0
"G1100010002202202","G1100010002202",11001,11,1,2202,"202",1,216,0,0,0,3,4,0,0,0
"G1100010002202204","G1100010002202",11001,11,1,2202,"204",1,91,6,0,0,0,0,0,0,3
"G1100010002202205","G1100010002202",11001,11,1,2202,"205",0,99,0,0,0,0,1,0,0,0
"G1100010002202206","G1100010002202",11001,11,1,2202,"206",0,153,0,0,0,5,0,0,0,5
"G1100010002202207","G1100010002202",11001,11,1,2202,"207",2,160,0,0,0,0,0,0,0,0
"G1100010002202301","G1100010002202",11001,11,1,2202,"301",2,167,0,1,0,0,3,0,0,0
"G1100010002202302","G1100010002202",11001,11,1,2202,"302",1,163,1,0,1,0,1,0,0,1
"G1100010002202303","G1100010002202",11001,11,1,2202,"303",1,187,0,0,0,11,4,0,0,5
"G1100010002202304","G1100010002202",11001,11,1,2202,"304",1,158,0,0,0,0,0,0,0,8
"G1100010002202306","G1100010002202",11001,11,1,2202,"306",0,88,0,0,0,0,3,0,0,0
"G1100010002202307","G1100010002202",11001,11,1,2202,"307",1,90,0,0,0,4,0,0,0,2
"G1100010002202308","G1100010002202",11001,11,1,2202,"308",1,131,2,0,0,0,0,0,0,4
"G1100010002301101","G1100010002301",11001,11,1,2301,"101",4,266,0,0,0,0,1,0,0,1
"G1100010002301102","G1100010002301",11001,11,1,2301,"102",0,118,0,0,0,0,0,0,0,0
"G1100010002301103","G1100010002301",11001,11,1,2301,"103",10,128,0,0,0,0,0,0,0,0
"G1100010002301104","G1100010002301",11001,11,1,2301,"104",0,248,0,0,0,1,0,0,0,0
"G1100010002301105","G1100010002301",11001,11,1,2301,"105",2,123,0,0,0,3,0,0,0,9
"G1100010002301106","G1100010002301",11001,11,1,2301,"106",2,154,0,0,0,0,0,0,0,0
"G1100010002301108","G1100010002301",11001,11,1,2301,"108",2,133,0,7,0,0,0,0,0,4
"G1100010002301109","G1100010002301",11001,11,1,2301,"109",3,123,0,0,0,0,0,0,0,0
"G1100010002301201","G1100010002301",11001,11,1,2301,"201",1,97,0,0,0,0,0,0,0,1
"G1100010002301204","G1100010002301",11001,11,1,2301,"204",3,135,0,0,0,0,0,0,0,2
"G1100010002301205","G1100010002301",11001,11,1,2301,"205",2,128,0,0,0,0,3,0,0,5
"G1100010002301206","G1100010002301",11001,11,1,2301,"206",1,102,0,0,0,0,4,0,0,0
"G1100010002301208","G1100010002301",11001,11,1,2301,"208",1,86,0,0,0,0,0,0,0,0
"G1100010002301209","G1100010002301",11001,11,1,2301,"209",4,98,2,0,0,5,0,0,0,0
"G1100010002301301","G1100010002301",11001,11,1,2301,"301",1,44,0,0,0,0,0,0,0,4
"G1100010002301302","G1100010002301",11001,11,1,2301,"302",5,144,0,0,0,0,5,0,0,6
"G1100010002301303","G1100010002301",11001,11,1,2301,"303",4,159,0,0,0,0,1,0,0,0
"G1100010002301305","G1100010002301",11001,11,1,2301,"305",1,35,0,0,0,0,0,0,0,0
"G1100010002301306","G1100010002301",11001,11,1,2301,"306",2,139,0,0,0,7,0,0,0,5
"G1100010002301308","G1100010002301",11001,11,1,2301,"308",5,62,0,0,0,0,0,0,0,4
"G1100010002301401","G1100010002301",11001,11,1,2301,"401",2,133,0,0,2,0,0,0,0,0
"G1100010002301402","G1100010002301",11001,11,1,2301,"402",2,115,0,0,0,0,0,0,0,0
"G1100010002301404","G1100010002301",11001,11,1,2301,"404",1,51,0,0,0,0,0,0,0,0
"G1100010002301405","G1100010002301",11001,11,1,2301,"405",1,103,0,0,0,0,0,0,0,0
"G1100010002301406","G1100010002301",11001,11,1,2301,"406",0,65,0,0,0,2,0,0,0,0
"G1100010002301407","G1100010002301",11001,11,1,2301,"407",0,204,0,0,0,0,0,0,0,7
"G1100010002302101","G1100010002302",11001,11,1,2302,"101",1760,250,5,6,0,34,3,0,0,5
"G1100010002302109","G1100010002302",11001,11,1,2302,"109",81,151,0,2,0,2,6,0,0,6
"G1100010002302113","G1100010002302",11001,11,1,2302,"113",285,615,1,20,0,13,17,1,1,17
"G1100010002302114","G1100010002302",11001,11,1,2302,"114",152,255,2,2,0,2,0,0,0,1
"G1100010002302115","G1100010002302",11001,11,1,2302,"115",204,449,1,11,1,8,4,0,0,10
"G1100010002302117","G1100010002302",11001,11,1,2302,"117",0,33,0,1,0,0,0,0,0,0
"G11000100024101","G11000100024",11001,11,1,24,"101",2,113,0,0,0,0,4,0,0,0
"G11000100024102","G11000100024",11001,11,1,24,"102",4,88,0,0,0,0,0,0,0,0
"G11000100024103","G11000100024",11001,11,1,24,"103",1,90,0,0,0,0,0,0,0,6
"G11000100024104","G11000100024",11001,11,1,24,"104",4,79,0,7,0,7,0,0,0,7
"G11000100024105","G11000100024",11001,11,1,24,"105",2,26,0,0,0,4,0,0,0,0
"G11000100024106","G11000100024",11001,11,1,24,"106",3,114,0,0,0,0,0,0,0,2
"G11000100024107","G11000100024",11001,11,1,24,"107",3,83,0,0,0,7,0,0,0,0
"G11000100024108","G11000100024",11001,11,1,24,"108",0,9,0,0,1,0,0,0,0,0
"G11000100024109","G11000100024",11001,11,1,24,"109",0,2,0,0,0,0,0,0,0,0
"G11000100024110","G11000100024",11001,11,1,24,"110",0,0,0,0,0,0,0,0,0,0
"G11000100024201","G11000100024",11001,11,1,24,"201",9,110,0,0,0,0,3,0,0,0
"G11000100024202","G11000100024",11001,11,1,24,"202",2,70,0,0,0,0,2,0,0,0
"G11000100024206","G11000100024",11001,11,1,24,"206",2,127,0,0,0,0,0,0,0,0
"G11000100024207","G11000100024",11001,11,1,24,"207",2,45,0,0,0,0,0,0,0,0
"G11000100024208","G11000100024",11001,11,1,24,"208",3,68,0,1,0,0,0,0,0,8
"G11000100024210","G11000100024",11001,11,1,24,"210",3,53,0,0,0,0,1,0,0,0
"G11000100024220","G11000100024",11001,11,1,24,"220",0,25,0,0,0,0,2,0,0,0
"G11000100024301","G11000100024",11001,11,1,24,"301",10,94,0,0,0,10,0,0,0,0
"G11000100024302","G11000100024",11001,11,1,24,"302",2,194,0,0,0,0,2,0,0,14
"G11000100024303","G11000100024",11001,11,1,24,"303",0,22,0,0,0,0,0,0,0,0
"G11000100024304","G11000100024",11001,11,1,24,"304",6,101,0,7,0,0,0,0,0,4
"G11000100024305","G11000100024",11001,11,1,24,"305",2,172,0,0,0,6,0,0,1,0
"G11000100024306","G11000100024",11001,11,1,24,"306",2,38,0,0,0,6,0,0,0,0
"G11000100024309","G11000100024",11001,11,1,24,"309",2,97,0,1,0,0,0,0,0,0
"G11000100024401","G11000100024",11001,11,1,24,"401",3,151,0,0,0,0,0,1,0,11
"G11000100024402","G11000100024",11001,11,1,24,"402",4,155,0,0,0,10,1,0,0,4
"G11000100024403","G11000100024",11001,11,1,24,"403",4,30,0,0,2,0,0,0,0,0
"G11000100024404","G11000100024",11001,11,1,24,"404",1,87,0,0,0,2,0,0,0,0
"G11000100024405","G11000100024",11001,11,1,24,"405",1,94,1,0,0,7,2,0,0,0
"G11000100024406","G11000100024",11001,11,1,24,"406",5,74,0,0,2,0,0,0,0,5
"G11000100024408","G11000100024",11001,11,1,24,"408",0,178,0,0,0,0,6,0,0,7
"G11000100024409","G11000100024",11001,11,1,24,"409",0,87,0,0,0,0,0,0,0,2
"G11000100024501","G11000100024",11001,11,1,24,"501",7,216,0,0,0,4,0,0,0,0
"G11000100024502","G11000100024",11001,11,1,24,"502",1,112,0,0,0,0,4,0,0,12
"G11000100024503","G11000100024",11001,11,1,24,"503",7,193,0,3,0,5,0,0,0,1
"G11000100024505","G11000100024",11001,11,1,24,"505",1,44,0,0,0,0,0,0,0,0
"G11000100024506","G11000100024",11001,11,1,24,"506",0,22,0,0,0,0,5,0,0,0
"G11000100024507","G11000100024",11001,11,1,24,"507",9,156,1,0,2,5,5,0,0,0
"G11000100024508","G11000100024",11001,11,1,24,"508",6,120,0,0,0,4,0,0,0,6
"G1100010002501101","G1100010002501",11001,11,1,2501,"101",2,48,0,0,0,0,2,0,0,2
"G1100010002501103","G1100010002501",11001,11,1,2501,"103",0,0,0,0,0,0,0,0,0,2
"G1100010002501104","G1100010002501",11001,11,1,2501,"104",1,160,3,0,0,3,0,0,0,0
"G1100010002501105","G1100010002501",11001,11,1,2501,"105",2,96,0,0,0,0,0,0,0,0
"G1100010002501106","G1100010002501",11001,11,1,2501,"106",4,256,0,0,0,8,3,0,0,18
"G1100010002501201","G1100010002501",11001,11,1,2501,"201",1,104,0,0,0,18,2,0,0,10
"G1100010002501202","G1100010002501",11001,11,1,2501,"202",2,73,0,0,0,0,2,0,0,1
"G1100010002501203","G1100010002501",11001,11,1,2501,"203",0,2,0,0,0,0,0,0,0,0
"G1100010002501205","G1100010002501",11001,11,1,2501,"205",0,6,0,0,0,0,0,0,0,0
"G1100010002501206","G1100010002501",11001,11,1,2501,"206",4,62,0,0,0,4,15,0,0,39
"G1100010002501301","G1100010002501",11001,11,1,2501,"301",5,55,0,0,0,3,4,0,0,17
"G1100010002501302","G1100010002501",11001,11,1,2501,"302",31,171,0,0,2,0,0,0,0,0
"G1100010002501303","G1100010002501",11001,11,1,2501,"303",8,82,0,2,0,8,0,0,0,0
"G1100010002501304","G1100010002501",11001,11,1,2501,"304",22,131,0,1,0,0,0,0,0,10
"G1100010002501305","G1100010002501",11001,11,1,2501,"305",16,71,0,0,0,12,0,0,0,0
"G1100010002501306","G1100010002501",11001,11,1,2501,"306",13,71,0,1,0,5,4,0,0,6
"G1100010002501307","G1100010002501",11001,11,1,2501,"307",12,117,0,0,0,0,0,0,0,7
"G1100010002501308","G1100010002501",11001,11,1,2501,"308",26,54,0,0,2,2,0,0,0,0
"G1100010002501401","G1100010002501",11001,11,1,2501,"401",18,105,0,0,0,0,4,0,0,7
"G1100010002501402","G1100010002501",11001,11,1,2501,"402",18,75,0,4,0,4,0,0,0,2
"G1100010002501403","G1100010002501",11001,11,1,2501,"403",2,10,0,0,0,0,0,0,0,0
"G1100010002501404","G1100010002501",11001,11,1,2501,"404",3,9,0,0,0,0,4,0,0,0
"G1100010002501405","G1100010002501",11001,11,1,2501,"405",13,71,1,0,1,0,0,0,0,2
"G1100010002501406","G1100010002501",11001,11,1,2501,"406",9,89,0,0,0,2,10,0,0,0
"G1100010002502101","G1100010002502",11001,11,1,2502,"101",1,6,0,0,0,0,0,0,0,0
"G1100010002502103","G1100010002502",11001,11,1,2502,"103",3,192,0,6,0,0,10,0,0,8
"G1100010002502104","G1100010002502",11001,11,1,2502,"104",2,111,0,0,0,8,0,0,0,7
"G1100010002502105","G1100010002502",11001,11,1,2502,"105",4,252,0,0,0,7,0,0,0,23
"G1100010002502106","G1100010002502",11001,11,1,2502,"106",0,179,2,1,0,0,13,0,0,17
"G1100010002502201","G1100010002502",11001,11,1,2502,"201",4,57,0,0,0,0,1,0,0,0
"G1100010002502202","G1100010002502",11001,11,1,2502,"202",0,112,1,0,0,0,0,0,0,6
"G1100010002502203","G1100010002502",11001,11,1,2502,"203",6,317,1,1,0,5,0,0,0,17
"G1100010002502204","G1100010002502",11001,11,1,2502,"204",4,62,0,3,0,0,0,0,0,6
"G1100010002502205","G1100010002502",11001,11,1,2502,"205",1,109,0,0,0,0,0,0,0,0
"G1100010002502206","G1100010002502",11001,11,1,2502,"206",1,100,0,0,0,0,0,0,0,5
"G1100010002502207","G1100010002502",11001,11,1,2502,"207",2,147,0,0,0,21,1,0,0,4
"G1100010002502208","G1100010002502",11001,11,1,2502,"208",0,88,0,0,0,4,0,0,0,3
"G1100010002502301","G1100010002502",11001,11,1,2502,"301",11,247,0,1,0,1,0,0,0,15
"G1100010002502302","G1100010002502",11001,11,1,2502,"302",4,140,0,0,0,0,9,0,0,7
"G1100010002502303","G1100010002502",11001,11,1,2502,"303",9,258,0,3,2,1,14,0,0,17
"G1100010002502304","G1100010002502",11001,11,1,2502,"304",11,238,0,0,1,19,3,0,0,27
"G1100010002502305","G1100010002502",11001,11,1,2502,"305",42,827,1,4,7,53,95,4,0,118
"G1100010002502307","G1100010002502",11001,11,1,2502,"307",3,219,0,0,6,0,6,0,0,8
"G1100010002502309","G1100010002502",11001,11,1,2502,"309",20,176,1,0,0,44,10,0,0,64
"G1100010002502312","G1100010002502",11001,11,1,2502,"312",9,121,0,2,3,4,4,0,3,13
"G11000100026101","G11000100026",11001,11,1,26,"101",5,121,0,0,0,0,0,0,0,0
"G11000100026104","G11000100026",11001,11,1,26,"104",13,54,0,0,2,0,0,0,0,0
"G11000100026105","G11000100026",11001,11,1,26,"105",19,33,0,8,0,0,0,0,0,0
"G11000100026106","G11000100026",11001,11,1,26,"106",1,21,0,0,0,0,0,0,0,0
"G11000100026107","G11000100026",11001,11,1,26,"107",13,31,0,0,0,0,1,0,0,0
"G11000100026108","G11000100026",11001,11,1,26,"108",3,35,0,1,0,0,0,0,0,0
"G11000100026201","G11000100026",11001,11,1,26,"201",15,36,0,1,0,0,0,0,0,0
"G11000100026202","G11000100026",11001,11,1,26,"202",7,72,0,2,0,0,0,0,0,0
"G11000100026203","G11000100026",11001,11,1,26,"203",11,27,0,0,0,2,3,0,0,0
"G11000100026204","G11000100026",11001,11,1,26,"204",5,30,0,0,1,2,0,0,0,0
"G11000100026205","G11000100026",11001,11,1,26,"205",24,19,0,0,0,0,0,0,0,0
"G11000100026206","G11000100026",11001,11,1,26,"206",23,52,0,0,0,1,0,0,0,0
"G11000100026207","G11000100026",11001,11,1,26,"207",17,40,0,0,0,2,0,0,0,0
"G11000100026208","G11000100026",11001,11,1,26,"208",38,56,0,5,0,1,0,0,0,0
"G11000100026209","G11000100026",11001,11,1,26,"209",36,60,1,0,0,1,0,0,0,1
"G11000100026210","G11000100026",11001,11,1,26,"210",22,21,0,0,0,2,0,0,0,0
"G11000100026211","G11000100026",11001,11,1,26,"211",13,73,0,1,0,0,0,0,0,0
"G11000100026212","G11000100026",11001,11,1,26,"212",13,62,1,0,0,0,0,0,0,0
"G11000100026214","G11000100026",11001,11,1,26,"214",26,62,0,1,0,0,0,0,0,1
"G11000100026215","G11000100026",11001,11,1,26,"215",18,29,0,6,0,0,0,0,0,3
"G11000100026301","G11000100026",11001,11,1,26,"301",8,35,0,1,0,0,0,0,0,0
