"GISJOIN","GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G1100010000802310","G1100010000802",64,1,0,2,2,4,73
"G1100010000802311","G1100010000802",17,0,0,0,0,0,17
"G1100010000802312","G1100010000802",119,12,1,5,5,13,155
"G1100010000802320","G1100010000802",389,19,0,16,16,48,488
"G1100010000802321","G1100010000802",198,12,1,20,20,15,266
"G1100010000901102","G1100010000901",17,0,0,8,8,0,33
"G1100010000901103","G1100010000901",79,0,0,12,12,5,108
"G1100010000901104","G1100010000901",30,1,0,1,1,0,33
"G1100010000901105","G1100010000901",44,0,0,5,5,7,61
"G1100010000901106","G1100010000901",37,5,0,3,3,4,52
"G1100010000901107","G1100010000901",36,0,0,0,0,0,36
"G1100010000901109","G1100010000901",58,0,0,2,2,15,77
"G1100010000901110","G1100010000901",48,0,0,0,0,0,48
"G1100010000901111","G1100010000901",44,0,0,2,2,3,51
"G1100010000901112","G1100010000901",32,1,0,5,5,1,44
"G1100010000901114","G1100010000901",28,1,0,0,0,1,30
"G1100010000901115","G1100010000901",41,0,0,0,0,2,43
"G1100010000901116","G1100010000901",40,0,0,2,2,15,59
"G1100010000901201","G1100010000901",50,0,0,0,0,1,51
"G1100010000901202","G1100010000901",62,0,0,6,6,2,76
"G1100010000901203","G1100010000901",2735,196,6,166,166,190,3459
"G1100010000901206","G1100010000901",59,2,0,9,9,1,80
"G1100010000901207","G1100010000901",20,0,0,5,5,1,31
"G1100010000901208","G1100010000901",47,0,0,3,3,1,54
"G1100010000901209","G1100010000901",76,17,0,1,1,25,120
"G1100010000901601","G1100010000901",280,11,0,31,31,21,374
"G1100010000901602","G1100010000901",16,11,0,1,1,0,29
"G1100010000901603","G1100010000901",54,0,0,5,5,3,67
"G1100010000901604","G1100010000901",85,0,0,3,3,1,92
"G1100010000901605","G1100010000901",62,0,0,2,2,1,67
"G1100010000901606","G1100010000901",138,0,0,5,5,8,156
"G1100010000901607","G1100010000901",28,5,0,1,1,5,40
"G1100010000901608","G1100010000901",35,12,0,1,1,2,51
"G1100010000901609","G1100010000901",33,11,0,0,0,0,44
"G1100010000901610","G1100010000901",58,0,0,3,3,2,66
"G1100010000901612","G1100010000901",67,0,0,11,11,7,96
"G1100010000901613","G1100010000901",108,2,0,2,2,9,123
"G1100010000901614","G1100010000901",103,0,0,4,4,4,115
"G1100010000901615","G1100010000901",23,0,0,1,1,0,25
"G1100010000901616","G1100010000901",44,0,0,0,0,3,47
"G1100010000901617","G1100010000901",61,0,0,6,6,10,83
"G1100010000901702","G1100010000901",320,2,0,20,20,17,379
"G1100010000901704","G1100010000901",3,1,0,0,0,0,4
"G1100010000901705","G1100010000901",23,0,0,0,0,4,27
"G1100010000901706","G1100010000901",63,0,0,0,0,0,63
"G1100010000901707","G1100010000901",112,2,0,0,0,16,130
"G1100010000901708","G1100010000901",48,1,0,0,0,1,50
"G1100010000901709","G1100010000901",75,0,0,3,3,3,84
"G1100010000901710","G1100010000901",103,1,0,6,6,1,117
"G1100010000901711","G1100010000901",75,0,1,1,1,1,79
"G1100010000901712","G1100010000901",33,0,0,0,0,1,34
"G1100010000901713","G1100010000901",39,0,0,0,0,2,41
"G1100010000901714","G1100010000901",35,0,0,4,4,5,48
"G1100010000901715","G1100010000901",29,0,0,1,1,3,34
"G1100010000901716","G1100010000901",43,3,0,0,0,12,58
"G1100010000902301","G1100010000902",309,15,0,15,15,10,364
"G1100010000902302","G1100010000902",107,2,0,5,5,6,125
"G1100010000902303","G1100010000902",74,0,0,1,1,1,77
"G1100010000902304","G1100010000902",87,1,0,2,2,1,93
"G1100010000902305","G1100010000902",32,4,0,0,0,4,40
"G1100010000902306","G1100010000902",21,0,0,5,5,1,32
"G1100010000902307","G1100010000902",15,4,0,0,0,0,19
"G1100010000902401","G1100010000902",35,0,0,0,0,17,52
"G1100010000902402","G1100010000902",21,3,0,0,0,0,24
"G1100010000902404","G1100010000902",11,10,0,0,0,1,22
"G1100010000902405","G1100010000902",26,0,0,0,0,1,27
"G1100010000902406","G1100010000902",139,12,0,8,8,1,168
"G1100010000902411","G1100010000902",96,3,0,9,9,5,122
"G1100010000902412","G1100010000902",45,0,0,2,2,2,51
"G1100010000902501","G1100010000902",33,1,0,2,2,0,38
"G1100010000902503","G1100010000902",27,6,0,0,0,1,34
"G1100010000902504","G1100010000902",51,1,0,1,1,0,54
"G1100010000902505","G1100010000902",57,0,0,1,1,0,59
"G1100010000902506","G1100010000902",42,0,0,0,0,1,43
"G1100010000902507","G1100010000902",47,4,0,2,2,6,61
"G1100010000902508","G1100010000902",28,0,0,0,0,1,29
"G1100010000902509","G1100010000902",32,3,0,2,2,4,43
"G1100010000902511","G1100010000902",53,0,0,0,0,1,54
"G1100010000902512","G1100010000902",41,10,0,0,0,0,51
"G1100010000902516","G1100010000902",40,1,0,0,0,1,42
"G1100010000902517","G1100010000902",79,0,0,1,1,1,82
"G1100010000902518","G1100010000902",43,3,0,0,0,0,46
"G1100010000902519","G1100010000902",50,1,0,4,4,0,59
"G1100010000902520","G1100010000902",24,1,0,2,2,1,30
"G1100010000902521","G1100010000902",67,6,0,2,2,1,78
"G1100010001001104","G1100010001001",46,6,0,2,2,3,59
"G1100010001001105","G1100010001001",50,7,0,6,6,11,80
"G1100010001001107","G1100010001001",38,0,0,7,7,5,57
"G1100010001001109","G1100010001001",71,0,0,1,1,10,83
"G1100010001001110","G1100010001001",24,5,0,2,2,6,39
"G1100010001001111","G1100010001001",66,1,0,2,2,3,74
"G1100010001001112","G1100010001001",59,4,0,8,8,0,79
"G1100010001001113","G1100010001001",89,5,0,2,2,24,122
"G1100010001001114","G1100010001001",10,0,0,0,0,3,13
"G1100010001001115","G1100010001001",84,5,0,5,5,6,105
"G1100010001001201","G1100010001001",42,1,0,1,1,6,51
"G1100010001001202","G1100010001001",44,4,0,2,2,1,53
"G1100010001001203","G1100010001001",54,2,0,1,1,3,61
"G1100010001001204","G1100010001001",59,0,0,2,2,1,64
"G1100010001001205","G1100010001001",10,0,0,1,1,2,14
"G1100010001001206","G1100010001001",68,1,0,3,3,9,84
"G1100010001001208","G1100010001001",47,0,0,6,6,8,67
"G1100010001001209","G1100010001001",8,0,0,2,2,0,12
"G1100010001001210","G1100010001001",73,0,0,0,0,3,76
"G1100010001001211","G1100010001001",74,1,0,5,5,1,86
"G1100010001001212","G1100010001001",44,0,0,8,8,1,61
"G1100010001001301","G1100010001001",40,0,0,4,4,7,55
"G1100010001001302","G1100010001001",19,0,0,0,0,0,19
"G1100010001001303","G1100010001001",72,5,0,6,6,12,101
"G1100010001001304","G1100010001001",69,1,0,4,4,0,78
"G1100010001001305","G1100010001001",59,0,0,0,0,5,64
"G1100010001001306","G1100010001001",54,2,0,4,4,1,65
"G1100010001001307","G1100010001001",46,4,0,0,0,1,51
"G1100010001001308","G1100010001001",61,0,0,4,4,0,69
"G1100010001001309","G1100010001001",60,1,1,5,5,7,79
"G1100010001001310","G1100010001001",19,0,0,4,4,0,27
"G1100010001001311","G1100010001001",47,1,0,0,0,1,49
"G1100010001001312","G1100010001001",47,0,0,1,1,3,52
"G1100010001001313","G1100010001001",10,0,0,0,0,1,11
"G1100010001001314","G1100010001001",16,0,0,0,0,2,18
"G1100010001001315","G1100010001001",186,20,0,0,0,4,210
"G1100010001001401","G1100010001001",15,0,0,0,0,6,21
"G1100010001001402","G1100010001001",47,1,0,0,0,0,48
"G1100010001001403","G1100010001001",17,1,0,0,0,0,18
"G1100010001001404","G1100010001001",55,0,0,0,0,0,55
"G1100010001001405","G1100010001001",52,3,0,2,2,2,61
"G1100010001001406","G1100010001001",52,0,0,1,1,3,57
"G1100010001001407","G1100010001001",60,0,0,0,0,18,78
"G1100010001001408","G1100010001001",42,4,0,6,6,0,58
